name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
,sandy,oregon,2,city of sandy,stagl construction and carlson construction,35248,hood st & se meinig ave sandy or 97055,sunrise-sunset,10000,,
,scappoose,oregon,1,buzzy morales and the army corps of engineers,buzzy morales and the army corps of engineers,1999,e columbia ave & se 2nd st scappoose or 97056,,2000,,
skate 'n' ride park,seaside,oregon,3,placed to ride,placed to ride,37778,1140 broadway st seaside or 97138,,11000,,
wayne potter memorial skatepark,sheridan,oregon,,oregon army national guard and city of sheridan public works department,oregon army national guard and city of sheridan public works department,1997,ne yamhill st & ne box st sheridan or 97378,,10000,,
,siletz,oregon,,lrm & associates,alltech,2003,484 sw swan ave siletz or 97380,,10000,,
willamalane skatepark,springfield,oregon,2,purkiss rose,,2003,1276 g st springfield or 97477,,11500,,
mccormick park,st. helens,oregon,2,tony gembeck,tony gembeck,34854,375 s 18th st st helens or 97051,,12000,,
,sweet home,oregon,1,recreation resource co. (prefab),recreation resource co. (prefab),,1920 long st sweet home or 97386,,,,
old town skatepark,talent,oregon,3,airspeed skateparks,airspeed skateparks,1998,e main st & john st talent or 97540,,12000,,
thompson park,the dalles,oregon,,spohn ranch,spohn ranch,40704,602 w 2nd st the dalles or 97058,,7500,,
jim griffith memorial skatepark,tigard,oregon,4,dreamland,dreamland,37932,13125 sw hall blvd tigard oregon 97223,sunrise-sunset,15000,,
,toledo,oregon,,airspeed skateparks,airspeed skateparks,,nw a st & nw 7th st toledo or 97391,,10000,,
,tualatin,oregon,,purkiss rose,,34678,8515 sw tualatin rd tualatin or 97062,,,,
territorial park,veneta,oregon,,,,2002,territorial rd & hunter rd veneta or 97487,,8000,,
,waldport,oregon,3,airspeed skateparks,airspeed skateparks,36326,s crestline dr & se salmon st waldport or 97394,,6500,,
robinwood,west linn,oregon,1,placed to ride,placed to ride,,3600 fairview way west linn or 97068,,,,
,west linn,oregon,5,grindline,grindline,2002,parker rd & wild rose dr west linn or 97068,,14000,,
oaken hills memorial park,willamina,oregon,1,prefab,prefab,,417 ne oaken hills dr willamina or 97396,,3000,,
,wilsonville,oregon,1,prefab,prefab,38524,8100 sw wilsonville road wilsonville oregon 97070,,6000,,
riverbend park,winston,oregon,,dreamland,dreamland,38534,31 thompson ave winston or 97496,,7000,,
richard jennings skaepark,woodburn,oregon,,purkiss rose,corp inc.,36310,400 s settlemier ave woodburn or 97071,,12000,,
